NAME,ARCHITECTURE,ARCHITECTURE_FULL_NAME,FAMILY,DEVICE,PACKAGE,SPEED,TEMPERATURE_GRADE_LETTER,REVISION,AVAILABLE_IOBS,BLOCK_RAMS,DSP,FLIPFLOPS,GB_TRANSCEIVERS,LUT_ELEMENTS,MMCM,ULTRA_RAMS,SERIES,#VERSION=1
xc7vx415tffv1157-2L,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1157,-2L,E,,600,880,2160,515200,20,257600,12,
xc7vx415tffv1157-3,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1157,-3,,,600,880,2160,515200,20,257600,12,
xc7vx415tffv1158-1,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1158,-1,,,350,880,2160,515200,48,257600,12,
xc7vx415tffv1158-2,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1158,-2,,,350,880,2160,515200,48,257600,12,
xc7vx415tffv1158-2L,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1158,-2L,E,,350,880,2160,515200,48,257600,12,
xc7vx415tffv1158-3,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1158,-3,,,350,880,2160,515200,48,257600,12,
xc7vx415tffv1927-1,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1927,-1,,,600,880,2160,515200,48,257600,12,
xc7vx415tffv1927-2,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1927,-2,,,600,880,2160,515200,48,257600,12,
xc7vx415tffv1927-2L,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1927,-2L,E,,600,880,2160,515200,48,257600,12,
xc7vx415tffv1927-3,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1927,-3,,,600,880,2160,515200,48,257600,12,
xc7vx415t_CIVffg1157-2,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1157,-2,,,600,880,2160,515200,20,257600,12,
xc7vx415t_CIVffg1157-2L,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1157,-2L,E,,600,880,2160,515200,20,257600,12,
xc7vx415t_CIVffg1157-3,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1157,-3,,,600,880,2160,515200,20,257600,12,
xc7vx415t_CIVffg1158-2,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1158,-2,,,350,880,2160,515200,48,257600,12,
xc7vx415t_CIVffg1158-2L,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1158,-2L,E,,350,880,2160,515200,48,257600,12,
xc7vx415t_CIVffg1158-3,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1158,-3,,,350,880,2160,515200,48,257600,12,
xc7vx415t_CIVffg1927-2,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1927,-2,,,600,880,2160,515200,48,257600,12,
xc7vx415t_CIVffg1927-2L,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1927,-2L,E,,600,880,2160,515200,48,257600,12,
xc7vx415t_CIVffg1927-3,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffg1927,-3,,,600,880,2160,515200,48,257600,12,
xc7vx415t_CIVffv1157-2,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1157,-2,,,600,880,2160,515200,20,257600,12,
xc7vx415t_CIVffv1157-2L,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1157,-2L,E,,600,880,2160,515200,20,257600,12,
xc7vx415t_CIVffv1157-3,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1157,-3,,,600,880,2160,515200,20,257600,12,
xc7vx415t_CIVffv1158-2,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1158,-2,,,350,880,2160,515200,48,257600,12,
xc7vx415t_CIVffv1158-2L,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1158,-2L,E,,350,880,2160,515200,48,257600,12,
xc7vx415t_CIVffv1158-3,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1158,-3,,,350,880,2160,515200,48,257600,12,
xc7vx415t_CIVffv1927-2,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1927,-2,,,600,880,2160,515200,48,257600,12,
xc7vx415t_CIVffv1927-2L,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1927,-2L,E,,600,880,2160,515200,48,257600,12,
xc7vx415t_CIVffv1927-3,virtex7,Virtex-7,virtex7,xc7vx415t_CIV,ffv1927,-3,,,600,880,2160,515200,48,257600,12,
xc7v585tffg1761-1,virtex7,Virtex-7,virtex7,xc7v585t,ffg1761,-1,,,850,795,1260,728400,36,364200,18,
xc7v585tffg1761-2,virtex7,Virtex-7,virtex7,xc7v585t,ffg1761,-2,,,850,795,1260,728400,36,364200,18,
xc7v585tffg1761-2L,virtex7,Virtex-7,virtex7,xc7v585t,ffg1761,-2L,E,,850,795,1260,728400,36,364200,18,
xc7v585tffg1761-3,virtex7,Virtex-7,virtex7,xc7v585t,ffg1761,-3,,,850,795,1260,728400,36,364200,18,
xc7v585tffg1157-1,virtex7,Virtex-7,virtex7,xc7v585t,ffg1157,-1,,,600,795,1260,728400,20,364200,18,
xc7v585tffg1157-2,virtex7,Virtex-7,virtex7,xc7v585t,ffg1157,-2,,,600,795,1260,728400,20,364200,18,
xc7v585tffg1157-2L,virtex7,Virtex-7,virtex7,xc7v585t,ffg1157,-2L,E,,600,795,1260,728400,20,364200,18,
xc7v585tffg1157-3,virtex7,Virtex-7,virtex7,xc7v585t,ffg1157,-3,,,600,795,1260,728400,20,364200,18,
xc7vx550tffg1158-1,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1158,-1,,,350,1180,2880,692800,48,346400,20,
xc7vx550tffg1158-2,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1158,-2,,,350,1180,2880,692800,48,346400,20,
xc7vx550tffg1158-2L,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1158,-2L,E,,350,1180,2880,692800,48,346400,20,
xc7vx550tffg1158-3,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1158,-3,,,350,1180,2880,692800,48,346400,20,
xc7vx550tffg1927-1,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1927,-1,,,600,1180,2880,692800,80,346400,20,
xc7vx550tffg1927-2,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1927,-2,,,600,1180,2880,692800,80,346400,20,
xc7vx550tffg1927-2L,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1927,-2L,E,,600,1180,2880,692800,80,346400,20,
xc7vx550tffg1927-3,virtex7,Virtex-7,virtex7,xc7vx550t,ffg1927,-3,,,600,1180,2880,692800,80,346400,20,
xc7vx550t_CIVffg1158-1,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1158,-1,,,350,1180,2880,692800,48,346400,20,
xc7vx550t_CIVffg1158-2,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1158,-2,,,350,1180,2880,692800,48,346400,20,
xc7vx550t_CIVffg1158-2L,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1158,-2L,E,,350,1180,2880,692800,48,346400,20,
xc7vx550t_CIVffg1158-3,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1158,-3,,,350,1180,2880,692800,48,346400,20,
xc7vx550t_CIVffg1927-1,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1927,-1,,,600,1180,2880,692800,80,346400,20,
xc7vx550t_CIVffg1927-2,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1927,-2,,,600,1180,2880,692800,80,346400,20,
xc7vx550t_CIVffg1927-2L,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1927,-2L,E,,600,1180,2880,692800,80,346400,20,
xc7vx550t_CIVffg1927-3,virtex7,Virtex-7,virtex7,xc7vx550t_CIV,ffg1927,-3,,,600,1180,2880,692800,80,346400,20,
xc7vh580tflg1155-1,virtex7,Virtex-7,virtex7,xc7vh580t,flg1155,-1,,,400,940,1680,725600,32,362800,12,
xc7vh580tflg1155-2,virtex7,Virtex-7,virtex7,xc7vh580t,flg1155,-2,,,400,940,1680,725600,32,362800,12,
xc7vh580tflg1155-2G,virtex7,Virtex-7,virtex7,xc7vh580t,flg1155,-2G,,,400,940,1680,725600,32,362800,12,
xc7vh580tflg1155-2L,virtex7,Virtex-7,virtex7,xc7vh580t,flg1155,-2L,E,,400,940,1680,725600,32,362800,12,
xc7vh580tflg1931-1,virtex7,Virtex-7,virtex7,xc7vh580t,flg1931,-1,,,600,940,1680,725600,56,362800,12,
xc7vh580tflg1931-2,virtex7,Virtex-7,virtex7,xc7vh580t,flg1931,-2,,,600,940,1680,725600,56,362800,12,
xc7vh580tflg1931-2G,virtex7,Virtex-7,virtex7,xc7vh580t,flg1931,-2G,,,600,940,1680,725600,56,362800,12,
xc7vh580tflg1931-2L,virtex7,Virtex-7,virtex7,xc7vh580t,flg1931,-2L,E,,600,940,1680,725600,56,362800,12,
xc7vh580thcg1155-1,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1155,-1,,,400,940,1680,725600,32,362800,12,
xc7vh580thcg1155-2,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1155,-2,,,400,940,1680,725600,32,362800,12,
xc7vh580thcg1155-2G,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1155,-2G,,,400,940,1680,725600,32,362800,12,
xc7vh580thcg1155-2L,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1155,-2L,E,,400,940,1680,725600,32,362800,12,
xc7vh580thcg1931-1,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1931,-1,,,600,940,1680,725600,56,362800,12,
xc7vh580thcg1931-2,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1931,-2,,,600,940,1680,725600,56,362800,12,
xc7vh580thcg1931-2G,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1931,-2G,,,600,940,1680,725600,56,362800,12,
xc7vh580thcg1931-2L,virtex7,Virtex-7,virtex7,xc7vh580t,hcg1931,-2L,E,,600,940,1680,725600,56,362800,12,
xc7vx690tffg1157-1,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1157,-1,,,600,1470,3600,866400,20,433200,20,
xc7vx690tffg1157-2,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1157,-2,,,600,1470,3600,866400,20,433200,20,
xc7vx690tffg1157-2L,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1157,-2L,E,,600,1470,3600,866400,20,433200,20,
xc7vx690tffg1157-3,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1157,-3,,,600,1470,3600,866400,20,433200,20,
xc7vx690tffg1158-1,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1158,-1,,,350,1470,3600,866400,48,433200,20,
xc7vx690tffg1158-2,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1158,-2,,,350,1470,3600,866400,48,433200,20,
xc7vx690tffg1158-2L,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1158,-2L,E,,350,1470,3600,866400,48,433200,20,
xc7vx690tffg1158-3,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1158,-3,,,350,1470,3600,866400,48,433200,20,
xc7vx690tffg1761-1,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1761,-1,,,850,1470,3600,866400,36,433200,20,
xc7vx690tffg1761-2,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1761,-2,,,850,1470,3600,866400,36,433200,20,
xc7vx690tffg1761-2L,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1761,-2L,E,,850,1470,3600,866400,36,433200,20,
xc7vx690tffg1761-3,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1761,-3,,,850,1470,3600,866400,36,433200,20,
xc7vx690tffg1926-1,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1926,-1,,,720,1470,3600,866400,64,433200,20,
xc7vx690tffg1926-2,virtex7,Virtex-7,virtex7,xc7vx690t,ffg1926,-2,,,720,1470,3600,866400,64,433200,20,
